0 qid:1 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:222 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:222 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:222 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:222 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:223 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:224 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
1 qid:224 '1:2', '2:1', '3:1', '4:1', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:225 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:226 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:226 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:226 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:226 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:226 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:226 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:226 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:226 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:226 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:226 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:226 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:226 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:226 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:226 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:226 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:226 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:227 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:228 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:228 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:228 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:229 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:230 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:231 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:231 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:231 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:231 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:231 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:231 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:231 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:231 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:231 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:232 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:233 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
0 qid:233 '1:4', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:233 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
0 qid:233 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
0 qid:233 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
0 qid:233 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
1 qid:233 '1:4', '2:4', '3:0', '4:0', '5:1', '6:0'
0 qid:233 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
0 qid:233 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
0 qid:233 '1:4', '2:4', '3:0', '4:0', '5:0', '6:1'
0 qid:233 '1:4', '2:4', '3:0', '4:0', '5:0', '6:1'
0 qid:233 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
0 qid:233 '1:4', '2:4', '3:0', '4:0', '5:0', '6:1'
0 qid:233 '1:4', '2:3', '3:0', '4:0', '5:0', '6:0'
0 qid:233 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
0 qid:233 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
0 qid:234 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:234 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:234 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:234 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:234 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:234 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:234 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:234 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:235 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:235 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:235 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:235 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:235 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:235 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:235 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:235 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:235 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:235 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:235 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:236 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:236 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:236 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:236 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:236 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:236 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:236 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:236 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:237 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:237 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:237 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:237 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:237 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:237 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:237 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:237 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:237 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:237 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:237 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:237 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:238 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:239 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:239 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:239 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:239 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:239 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:239 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:239 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:239 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:239 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:239 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:239 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:239 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:239 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:239 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:240 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:240 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:240 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:240 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:240 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:241 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:242 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:243 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:243 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:243 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:244 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:244 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:245 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:246 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:246 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:246 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:246 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:246 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:247 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:247 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:247 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:247 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:247 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:247 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:247 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:247 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:247 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:247 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:247 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:248 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:248 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:248 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:248 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:249 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:250 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:250 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:250 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:250 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:250 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:250 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:250 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:250 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:250 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:250 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:250 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:250 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:250 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:250 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:250 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:250 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:251 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:251 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:252 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:252 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:252 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:252 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:252 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
1 qid:252 '1:2', '2:1', '3:1', '4:1', '5:0', '6:0'
0 qid:253 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:253 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:253 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
1 qid:253 '1:2', '2:1', '3:1', '4:1', '5:0', '6:1'
0 qid:254 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
1 qid:254 '1:2', '2:1', '3:1', '4:1', '5:0', '6:1'
0 qid:254 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:255 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
1 qid:255 '1:2', '2:1', '3:1', '4:1', '5:0', '6:0'
0 qid:255 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:255 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:256 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:256 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:256 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:1'
